id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,target,song_title,artist,
475,0.0229,527,188560,871,155,4,419,-8708,1,0.0354,120722,4.0,0.12,1,I Wanna Be Your Dog,The Stooges,
476,0.000963,767,317320,712,0.00275,5,243,-7.28,1,0.0564,125025,4.0,947,1,Jealousy,Martin Solveig,
477,233,328,225627,827,0.00517,6,632,-2545,0,252,103127,4.0,709,1,Embody,Sebastian,
478,0.0175,702,185840,773,0.00165,9,651,-3741,1,214,100006,4.0,484,1,Love In Motion - feat. Mayer Hawthorne,Sebastian,
479,0.00314,654,410897,734,0.000249,0,0.0802,-6216,1,112,126995,4.0,243,1,Save the World,Swedish House Mafia,
480,0.0369,448,258653,733,0.0425,3,169,-6238,1,0.0292,142008,4.0,404,1,Myth,Beach House,
481,0.0152,542,265480,854,0.0,8,0.0639,-5041,1,0.0445,128041,4.0,262,1,Ready 2 Go,Martin Solveig,
482,0.00206,469,235301,821,0.00914,2,258,-5055,0,0.0397,173964,4.0,226,1,We Are Young - The Popopopops Remix,Juveniles,
483,429,857,287200,889,5.21e-06,6,143,-4382,1,0.0795,103072,4.0,0.82,1,Bop Gun (One Nation) - Radio Edit,Ice Cube,
484,0.000407,796,279952,774,812,9,0.0784,-4833,0,0.0509,124989,4.0,327,1,La Funky,Destructo feat. Oliver,
485,0.0401,0.67,400742,897,0.0021,7,293,-5.19,0,0.0922,127994,4.0,294,1,In My Mind (Axwell Remix),Ivan Gough & Feenixpawl feat. Georgi Kay,
486,0.000299,697,238206,0.68,0.00674,2,125,-6847,1,0.0318,98002,4.0,288,1,On'n'On - Ruined by Rick Rubin,Justice,
487,0.0193,352,248133,807,6.04e-06,0,0.0963,-7781,1,173,90772,4.0,0.0459,1,Don't Die,Killer Mike,
488,122,687,357280,799,0.0011,1,107,-9181,0,355,128001,4.0,0.0397,1,Van Vogue,Azealia Banks,
489,0.0998,666,285320,811,0.0614,11,0.0588,-5079,0,0.0357,124954,4.0,955,1,How Do You Do?,Hot Chip,
490,0.0285,764,270680,768,0.0235,5,122,-5614,1,0.0382,125988,4.0,627,1,Night And Day,Hot Chip,
491,0.0132,677,271480,0.86,0.0119,1,0.0487,-5074,1,0.0348,121989,4.0,793,1,Don't Deny Your Heart,Hot Chip,
492,275,735,212333,801,0.0,1,137,-5067,1,0.0554,123094,4.0,491,1,Focused - feat. Kid Cudi,Wale,
493,0.000483,286,242653,694,0.00252,6,0.0773,-7481,1,0.0335,169904,4.0,411,1,Neptune,Lemonade,
494,0.00138,881,259200,564,0.0,2,0.0983,-5239,1,232,100032,4.0,0.36,1,"Function - feat. YG, IAmSu & Problem",E-40,
495,0.0086,246,237947,843,241,4,137,-10022,1,0.0396,80047,4.0,681,1,Didn't You,Cloud Nothings,
496,0.000248,515,172520,876,156,5,0.0606,-5448,1,0.0375,105128,4.0,707,1,Search Party,Small Black,
497,0.0227,816,222920,894,7.23e-05,6,331,-9243,1,0.0819,99995,4.0,968,1,Mi Swing es Tropical,Nickodemus,
498,0.00569,715,346773,518,772,5,0.0983,-11.0,0,0.0699,129.87,4.0,923,1,Stock Exchange,Miss Kittin,
499,0.0365,829,336906,637,0.0233,5,267,-9481,0,0.0882,120761,4.0,688,1,Changes,Crazy P,
500,289,444,346360,978,778,6,171,-6238,1,0.0998,125371,4.0,463,1,Play This (Also),J Rocc,
501,232,612,212944,725,11,6,395,-5775,0,0.0966,195972,4.0,153,1,Obedear,Purity Ring,
502,0.0989,0.7,285211,718,0.0609,2,218,-5882,1,0.0535,81997,4.0,343,1,Slow Down,Poolside,
503,0.000869,754,295867,877,0.0,2,0.0576,-3486,1,0.0586,132033,4.0,557,1,I Don't Like,Chief Keef,
504,148,327,275286,654,0.00442,6,0.0939,-6258,0,0.0364,102532,3.0,262,1,Sleeping Ute,Grizzly Bear,
505,0.0173,646,197132,778,0.0,1,0.0702,-7.44,0,103,127813,4.0,173,1,Hands On the Wheel (feat. a$Ap Rocky),ScHoolboy Q,
506,0.00991,486,252707,526,158,0,0.0976,-9041,1,0.0272,75461,4.0,726,1,The Kids Were Wrong,Memoryhouse,
507,473,551,283373,504,664,7,0.0818,-11166,1,0.0309,115998,4.0,137,1,Walk With Me,Memoryhouse,
508,0.0246,586,374133,806,0.000167,1,353,-9542,1,0.0548,110325,4.0,207,1,Her Fantasy,Matthew Dear,
509,0.00909,694,337187,716,0.000814,7,0.0772,-7468,1,0.0513,121427,4.0,896,1,Der Kommissar,After The Fire,
510,122,817,220987,528,0.0,1,284,-6551,1,0.0656,100997,4.0,161,1,Slow Down,Clyde Carson,
511,0.0764,611,255320,677,0.0698,10,241,-6745,0,34,166.04,4.0,233,1,Genesis,Grimes,
512,419,727,239360,657,0.0,0,0.0624,-5307,1,188,82553,4.0,794,1,About to Die,Dirty Projectors,
513,229,485,330920,793,784,0,406,-8693,1,0.0573,131951,4.0,295,1,Best Night,The War On Drugs,
514,0.0413,0.52,269000,872,725,8,161,-8104,1,0.0483,111958,4.0,524,1,Brothers,The War On Drugs,
515,0.000105,399,304907,761,0.0456,9,0.0757,-6318,1,0.0334,140084,4.0,244,1,We Own The Sky,M83,
516,0.52,582,212602,903,779,0,243,-4505,1,0.0335,119457,4.0,902,1,Chicken Half,Sugarman Three,
517,0.0833,852,237533,523,0.0,5,106,-6716,0,32,130154,4.0,648,1,Two Of Hearts,Stacey Q,
518,0.0156,623,289640,806,0.0769,0,201,-8533,1,0.0352,130049,4.0,847,1,The Perfect Kiss,New Order,
519,145,844,265400,688,0.00351,4,104,-8594,0,291,96671,4.0,747,1,Can I Kick It?,A Tribe Called Quest,
520,0.0275,684,195373,603,0.000311,11,191,-8127,0,0.0989,81.0,4.0,508,1,Sure Thing,Miguel,
521,0.000103,498,322933,553,528,5,273,-6193,1,0.0332,111015,4.0,228,1,Kim & Jessie,M83,
522,0.0329,162,247027,254,122,2,0.0631,-11251,1,0.0359,108943,4.0,0.0778,1,Outro,M83,
523,0.0842,671,272175,784,0.0121,4,231,-5514,0,0.0303,122995,4.0,545,1,We Are the People,Empire of the Sun,
524,597,792,239427,387,0.000106,8,0.0757,-8192,0,0.0464,136996,4.0,677,1,Look At Where We Are,Hot Chip,
525,0.0801,417,213853,944,0.00141,9,0.0862,-5192,1,0.0459,109721,4.0,376,1,Don't Owe You a Thang,Gary Clark Jr.,
526,0.0726,739,386907,526,0.0,4,215,-7384,0,101,143948,4.0,374,1,Money Trees,Kendrick Lamar,
527,203,791,286213,916,0.0,2,0.0924,-2009,1,178,103709,4.0,0.62,1,Hood Pass Intact feat. MC Eiht,Dâm-Funk,
528,0.00341,491,128187,935,348,1,121,-4.22,1,0.0343,157993,4.0,964,1,Got No Money,FIDLAR,
529,0.0581,748,306600,586,0.0,1,156,-2554,1,0.0512,140067,4.0,162,1,Birthday Song,2 Chainz,
530,7.79e-05,351,141305,931,129,6,226,-5746,0,0.0539,126394,4.0,604,1,Oh,FIDLAR,
531,1,0.48,139560,964,0.000273,7,131,-3681,1,0.0656,98496,4.0,579,1,No Waves,FIDLAR,
532,3.41e-05,123,99413,963,0.0329,10,292,-4182,1,0.0543,198.04,4.0,0.68,1,Wake Bake Skate,FIDLAR,
533,0.00814,401,93267,972,878,0,382,-2236,1,0.0886,152839,4.0,405,1,No Ass,FIDLAR,
534,0.00023,228,182600,886,848,9,307,-3.87,0,0.0497,165201,4.0,499,1,Black Out Stout,FIDLAR,
535,0.0214,465,295880,633,0.79,11,105,-9493,0,0.0578,130074,4.0,0.0451,1,Plague,Crystal Castles,
536,0.11,438,192000,539,0.0,8,143,-9578,1,166,166649,5.0,0.0759,1,Kerosene,Crystal Castles,
537,0.0036,396,186627,601,531,0,116,-9347,1,0.0515,129996,4.0,351,1,Wrath Of God,Crystal Castles,
538,0.000183,596,178800,628,0.00767,5,187,-7582,0,0.0503,139965,4.0,0.52,1,Pale Flesh,Crystal Castles,
539,0.000964,276,141627,766,858,7,0.15,-6012,0,0.0373,158188,4.0,547,1,Past Lives,DIIV,
540,104,241,194600,588,0.00042,7,87,-6914,1,0.0313,171882,4.0,506,1,Pictures Of Matchstick Men,Status Quo,
541,0.000341,821,397166,902,909,11,0.0898,-7203,1,0.0542,112.98,4.0,269,1,Get Up,Craig Bratley,
542,854,354,476164,228,0.8,0,113,-10304,1,0.0296,82758,3.0,0.0745,1,Cloud Atlas End Title,Tom Tykwer,
543,0.0372,638,210160,897,0.00748,7,0.0691,-5.78,0,0.0504,133948,4.0,915,1,Keep You,Wild Belle,
544,0.0101,651,247360,642,0.000186,2,0.0902,-4276,1,167,88237,4.0,711,1,Anything New,Bibio,
545,0.0543,625,193147,576,4.07e-05,11,187,-5693,0,175,179063,4.0,223,1,Adorn,Miguel,
546,169,759,346160,772,0.0687,7,0.0668,-8052,1,125,89245,4.0,752,1,Louie Louie,Toots & The Maytals,
547,0.0175,726,190360,664,0.0,0,195,-6275,1,108,75571,4.0,494,1,Under Mi Sensi,Barrington Levy,
548,0.8,611,448315,0.9,872,1,0.19,-10026,1,0.0593,129729,4.0,322,1,Loner,Burial,
549,0.0845,865,233300,549,158,0,81,-10083,1,244,142.8,4.0,619,1,Murderer,Barrington Levy,
550,0.00135,794,375179,481,883,6,0.0833,-11.97,1,149,114003,4.0,314,1,Space Cakes - Original,Tanner Ross,
551,0.0193,614,323600,677,518,9,108,-8317,0,0.0323,126477,4.0,726,1,"There, There",Radiohead,
552,0.0113,535,258413,857,0.00751,9,472,-5.2,0,0.0543,91053,4.0,431,1,Nightcall,Kavinsky,
553,453,815,230307,672,0.0,8,112,-5675,1,0.27,151362,4.0,813,1,Jacket & Tie,Toyan,
554,0.00104,595,247175,794,0.00733,0,0.0693,-5186,1,0.0345,131619,4.0,685,1,Doom And Gloom - Jeff Bhasker Mix,The Rolling Stones,
555,4.06e-05,683,230587,698,0.000113,9,58,-6255,1,0.0395,125999,4.0,962,1,All Of Me,Tanlines,
556,0.0829,722,192026,619,0.0,9,0.0533,-8324,0,352,140031,4.0,606,1,Females Welcomed (feat. Reija Lee),Trinidad James,
557,0.0985,647,277375,841,0.0,10,897,-2507,1,164,139963,4.0,886,1,Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker,
558,0.000455,428,146227,972,0.000854,11,313,-4329,0,0.0514,133064,4.0,0.48,1,Max Can't Surf,FIDLAR,
559,9.19e-06,325,109533,918,0.000288,2,276,-4823,1,71,95537,4.0,184,1,Wait for the Man,FIDLAR,
560,74,912,400751,781,762,7,348,-7018,0,0.0444,119978,4.0,891,1,Inspector Norse,Todd Terje,
561,0.0324,771,246573,416,0.0,0,111,-8188,0,0.0894,131952,4.0,218,1,Love Sosa,Chief Keef,
562,0.00069,759,398615,764,719,10,116,-7416,0,0.0446,117996,4.0,315,1,This Time Around,Softwar,
563,135,691,264213,737,0.0291,10,127,-5758,0,0.0447,108049,4.0,675,1,See Blind Through,Canyons,
564,139,701,261120,822,0.0526,6,0.0726,-6.13,1,0.0366,129.03,4.0,739,1,Vowels = space and time,Grimes,
565,263,736,260413,0.58,663,5,101,-9643,0,0.0485,140.04,4.0,144,1,Be A Body,Grimes,
566,131,564,171573,912,8.05e-06,5,369,-4718,0,143,92054,4.0,582,1,Unchained (The Payback / Untouchable),James Brown,
567,164,824,181800,513,0.0,8,0.0487,-9591,1,208,99938,4.0,568,1,Stomp - Dirty,5kinAndBone5,
568,0.0451,406,152040,0.74,722,0,637,-7232,1,31,92333,4.0,822,1,Borrowed Time,Parquet Courts,
569,116,762,204293,883,0.0,0,0.3,-4397,1,0.18,140974,4.0,781,1,Young N*****,Gucci Mane,
570,78,0.54,187847,0.77,0.0,7,0.0846,-7748,1,354,99882,4.0,0.62,1,All Gold Everything,Trinidad James,
571,109,834,389508,481,822,8,111,-9511,1,135,121999,4.0,306,1,What I Might Do - Club Mix,Ben Pearce,
572,0.00855,714,155337,905,2.55e-05,8,146,-2663,1,0.0289,125927,4.0,824,1,I Love It (feat. Charli XCX) - Original Version,Icona Pop,
573,0.0015,0.36,162168,774,807,3,0.0996,-8758,1,0.0384,80205,4.0,664,1,Kenosha,Swearin',
574,18,609,209760,798,8.68e-06,5,434,-4448,0,0.0404,130034,4.0,405,1,Fineshrine,Purity Ring,
575,0.0047,777,309180,688,0.69,8,96,-8692,0,0.0681,126019,4.0,0.18,1,Flow,Disclosure,
576,135,749,267307,647,0.0,2,142,-6878,1,137,146024,4.0,196,1,C'Est La Vie,Booba,
577,0.0202,0.67,260853,544,0.00792,1,0.14,-9643,0,124,140037,4.0,331,1,Caramel,Booba,
578,0.00627,684,228907,637,0.0,9,297,-6378,1,61,140063,4.0,245,1,O.G,Booba,
579,151,633,321627,0.85,0.0,5,0.0556,-5915,0,344,97933,4.0,761,1,HLM 3,Lunatic,
580,49,594,457205,0.77,0.9,0,103,-7082,1,0.0629,125987,4.0,0.14,1,The Mighty Ming - Original Club Mix,Funkagenda,
581,0.0119,473,196664,794,0.00218,9,418,-5151,1,0.0462,139313,4.0,293,1,Harlem Shake,Baauer,
582,0.00207,931,255844,606,461,1,92,-8366,1,269,94018,4.0,865,1,Purp Walk,Lunice,
583,432,744,232611,685,0.0,7,319,-8332,1,0.34,87675,4.0,0.56,1,Do You Like It? (Feat. Kool A.D),Chaz Van Queen,
584,0.0452,752,150053,783,0.0,9,194,-7507,1,151,159912,4.0,611,1,Gucci On The Rise,Gucci Mane,
585,0.00469,821,280173,469,0.0,8,141,-7152,1,0.0473,132002,4.0,321,1,Hate Bein' Sober,Chief Keef,
586,0.00271,908,237293,513,0.0,2,141,-5318,1,0.0973,130047,4.0,256,1,Traffic,Lil Reese,
587,0.0401,636,267147,702,0.0,11,105,-5437,1,0.0743,125998,4.0,471,1,Hold Me Back,Rick Ross,
588,239,839,636213,583,0.0,1,262,-5941,1,268,87.99,4.0,557,1,Oldie,Odd Future,
589,0.0425,0.79,173160,531,0.0,8,266,-6968,1,197,86306,4.0,498,1,Started From the Bottom,Drake,
590,0.0596,787,121874,0.81,125,5,625,-7822,1,0.0993,77505,4.0,606,1,Dum Dum,Baauer,
591,0.000451,603,342020,978,493,11,404,-1367,0,186,150072,4.0,496,1,Higher - Extended,Just Blaze and Baauer,
592,0.00402,937,225940,0.67,0.0,9,108,-6149,1,107,136029,4.0,592,1,"Gone, Gone",Juicy J,
593,0.0912,748,275907,703,0.0036,2,0.0635,-11869,1,0.0663,110615,4.0,618,1,Rock Creek Park,The Blackbyrds,
594,0.00741,727,250587,235,0.0159,0,0.0769,-20263,1,0.16,127.16,4.0,0.59,1,Leaving Babylon,Bad Brains,
595,0.000117,857,222330,948,816,10,317,-6901,0,204,140002,4.0,669,1,Trap Shit V7,UZ,
596,0.0295,793,432800,978,0.0331,11,0.0764,-9229,0,0.0648,124922,4.0,711,1,Good Life - Original 12'' Mix,Inner City,
597,0.0492,738,461560,808,734,10,36,-9772,0,0.0522,120248,4.0,816,1,Big Fun - Original 12'' Mix,Inner City,
598,0.00905,864,223071,0.86,0.0,11,183,-1.92,1,178,140029,4.0,883,1,Piss Test (feat. Juicy J & Dany Brown),A-Trak,
599,0.0234,688,219618,457,0.0,7,127,-9.86,1,0.0338,109278,4.0,645,1,Can't Seem To Make You Mine,Sky Saxon & The Seeds,
600,423,786,267160,525,461,1,0.0876,-8271,0,0.0388,128014,4.0,0.43,1,Borderline,Classixx,
601,0.00201,734,394857,686,0.11,5,0.0408,-9781,0,0.0761,128021,4.0,543,1,Elevate - Q45 Remix,Toni Toni Lee,
602,0.0196,765,246823,891,0.0145,9,0.0293,-6.43,0,0.0514,126.99,4.0,564,1,With You (feat. Alexis Taylor),Carte Blanche (feat. Alexis Taylor),
603,0.00263,725,238640,798,2.14e-06,0,0.0791,-6.75,0,162,124045,4.0,0.72,1,Can't Shake This Feeling,Grum,
604,14,962,156800,592,642,9,134,-11716,0,108,130684,4.0,361,1,Check Me Out Like,Blaqstarr,
605,0.00167,845,292654,455,5.97e-05,11,0.0414,-5209,1,0.0693,119987,4.0,832,1,Second Summer,YACHT,
606,0.000321,0.5,261587,0.95,0.0293,6,382,-4333,1,0.0677,120038,4.0,298,1,Demon To Lean On,Wavves,
607,0.0537,648,322760,547,0.0439,5,0.0826,-6547,1,0.0245,141378,4.0,851,1,Walk In The Park,Beach House,
608,0.00576,0.77,347387,0.69,0.0107,9,0.0684,-4903,0,0.0977,118989,4.0,721,1,Reckless (With Your Love),Azari & III,
609,3.13e-05,0.61,420384,907,698,11,0.23,-5857,0,0.0384,112007,4.0,397,1,Reckless (With Your Love) - Tensnake Remix,Azari & III,
610,0.00318,663,146906,877,0.00217,5,124,-3.37,0,0.0538,135989,4.0,396,1,Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],Wiley,
611,0.000548,831,155042,373,0.000362,1,0.1,-6896,1,157,96115,4.0,356,1,(Bonus) Break Her Down,Iamsu!,
612,0.0482,653,141724,817,0.0,1,157,-5077,1,239,135345,4.0,493,1,Molly Ringwald,Danny Brown,
613,8.34e-05,0.72,255135,748,0.0,5,0.11,-7607,1,447,182064,4.0,555,1,8 Feet Tall,Problem,
614,769,808,118353,593,2.07e-06,1,111,-9395,1,344,89876,4.0,0.88,1,36 Chamber Flow,Flatbush Zombies,
615,0.0302,798,216585,481,0.0,7,128,-10488,1,314,127136,4.0,0.64,1,Trill Hoe,Western Tink,
616,0.00706,586,245733,915,236,6,192,-6264,1,31,117.99,4.0,747,1,Saturday Love,Toro y Moi,
617,0.15,695,240040,615,0.000212,7,0.0879,-5325,0,42,124015,4.0,425,1,Sweater Weather,The Neighbourhood,
618,0.00749,587,250299,784,0.0126,9,264,-4878,1,0.0469,139.99,4.0,0.13,1,Oh My - Club Mix,The Partysquad,
619,0.0765,675,205533,862,0.000609,8,364,-5309,0,0.0501,124982,4.0,819,1,Saltkin,Purity Ring,
620,116,671,239613,0.73,0.000356,8,201,-6773,1,0.0369,112011,4.0,302,1,Lofticries,Purity Ring,
621,0.00221,632,156614,793,0.0,10,171,-4171,0,102,189992,4.0,393,1,Get It In,Iamsu!,
622,0.0106,774,227327,0.92,433,11,146,-4213,1,0.25,128.97,4.0,223,1,My Bad - Club Mix,The Partysquad,
623,0.0415,941,207040,685,0.0,10,0.08,-5.24,1,0.0752,97524,4.0,695,1,I'm Different,2 Chainz,
624,0.0426,794,248413,811,1.07e-06,6,101,-8966,0,38,116047,4.0,865,1,Get Lucky - Radio Edit,Daft Punk,
625,0.0436,805,192623,634,0.0,7,0.0579,-7759,1,0.0535,143944,4.0,0.76,1,Had A Dream,EMP DASME,
626,0.00584,394,225680,669,0.0,7,334,-4461,1,56,169929,4.0,195,1,Recover,CHVRCHES,
627,0.0347,635,224747,459,0.000184,2,77,-7.59,1,0.0491,114865,4.0,345,1,Now Is Not the Time,CHVRCHES,
628,0.00116,669,211042,765,0.0,8,312,-7885,1,51,131946,4.0,163,1,MDA,Problem,
629,0.0637,742,304880,912,0.0,6,599,-1188,0,0.13,137975,4.0,562,1,Pop That,French Montana,
630,244,624,205973,752,0.0,4,131,-5.43,1,121,134021,4.0,862,1,Young & Gettin' It - feat. Kirko Bangz,Meek Mill,
631,0.45,622,218480,628,0.0,7,251,-9964,0,243,144812,4.0,304,1,Best Wishes,Iamsu!,
632,121,719,216000,0.66,0.0,2,127,-8.22,1,0.0829,119996,4.0,357,1,Kids,Iamsu!,
633,0.000478,525,200015,0.8,429,11,319,-11484,1,122,80032,4.0,0.52,1,Levitate,Paper Diamond,
634,0.14,525,291162,538,117,11,95,-9366,0,0.0783,175953,4.0,791,1,Get Free (feat. Amber of Dirty Projectors),Major Lazer,
635,0.000373,472,246427,855,0.93,0,887,-6937,1,69,154908,4.0,166,1,Balance,Future Islands,
636,0.00417,0.9,262168,929,2.04e-05,7,524,-718,1,148,129991,4.0,566,1,The Lion - Original Mix,The Partysquad,
637,0.000839,802,334849,586,0.0212,5,0.0587,-6245,1,103,128011,4.0,407,1,For Your Love - Club Edit,The Partysquad,
638,0.000423,723,358436,669,936,11,0.0751,-5026,0,0.0582,126013,4.0,156,1,For Your Love - Olav Basoski Remix,The Partysquad,
639,284,797,253187,508,0.00859,9,356,-8154,0,0.0455,118032,4.0,958,1,Slippin’,Quadron,
640,0.00255,869,224107,426,534,7,113,-8187,1,202,127059,4.0,457,1,Take You On,Peaches,
641,0.0302,756,256933,595,1.98e-06,1,146,-6924,1,0.0333,130031,4.0,0.0681,1,One of Those Nights,Juicy J,
642,0.0267,821,632693,793,1.37e-05,6,0.0751,-9003,0,0.0391,116009,4.0,0.91,1,Get Lucky - Daft Punk Remix,Daft Punk,
643,0.000891,806,297907,772,864,6,101,-14369,1,0.0856,125325,4.0,436,1,No Way Back,Adonis,
644,152,702,420107,504,5.11e-06,9,0.22,-16794,1,342,121374,4.0,794,1,Ride The Rhythm,On The House featuring Marshall Jefferson,
645,0.0956,646,282791,929,1.12e-06,2,159,-1501,1,194,128995,4.0,229,1,Move Your Body - Extended Mix,Benny Benassi,
646,0.000736,491,281853,883,3.19e-05,4,369,-4986,0,0.0306,131.75,4.0,516,1,Rockin' In The Free World,Neil Young,
647,28,291,192960,901,627,2,116,-2327,0,0.0563,150052,4.0,511,1,Feels Like We Only Go Backwards,Tame Impala,
648,274,683,266173,776,0.0748,0,0.0885,-7029,1,0.0754,126.18,4.0,667,1,Half Full Glass of Wine,Tame Impala,
649,0.00845,799,207843,605,0.0143,7,485,-10011,1,286,194055,4.0,378,1,"Bubble Butt [Radio Mix] [feat. Bruno Mars, 2 Chainz, Tyga & Mystic]",Major Lazer,
650,0.00968,836,230627,817,0.0,7,114,-5672,1,0.0677,112007,4.0,658,1,Wop (Official Version),J. Dash,
651,0.0613,931,202199,415,0.0,7,59,-8491,1,293,97995,4.0,614,1,Don’t Drop That Thun Thun,Finatticz,
652,0.00579,683,284267,989,0.00108,9,0.0964,-2092,0,0.0616,91558,4.0,0.78,1,Give It Away,Red Hot Chili Peppers,
653,0.0472,379,570733,782,748,11,265,-8163,1,0.0358,101698,4.0,529,1,Wakin on a Pretty Day,Kurt Vile,
654,0.000289,771,227143,949,602,8,595,-4712,1,175,111959,4.0,372,1,Hulk (Dillon Francis Remix),Clockwork,
655,0.000183,695,295714,792,439,9,0.0638,-4595,0,0.0328,112008,4.0,424,1,Dill the Noise,Dillon Francis and Kill The Noise,
656,0.000258,375,212947,804,694,7,322,-5673,0,0.0372,154066,4.0,394,1,Dead Sound,The Raveonettes,
657,0.00533,421,164289,0.8,332,11,381,-5.85,1,303,189935,4.0,0.0951,1,Rvtchet Bitch,Brillz & Teddy Tuxedo,
658,0.0216,886,217893,474,0.0,1,88,-8045,0,274,150068,4.0,823,1,Swing,Savage,
659,0.0597,0.65,242056,985,325,6,0.36,-3406,0,133,153009,4.0,667,1,You & Me - Baauer Remix,Disclosure,
660,0.0155,0.76,285651,944,0.85,6,363,-3793,0,0.0733,123985,4.0,294,1,Next Order,Dog Blood,
661,0.0645,824,180107,883,0.0707,0,409,-2715,1,108,127989,4.0,846,1,It's You,Duck Sauce,
662,0.0553,482,350120,0.72,2.07e-06,2,461,-6812,1,271,90999,4.0,222,1,m.A.A.d city,Kendrick Lamar,
663,0.00778,786,263120,604,0.0,6,102,-8372,1,0.0614,140054,4.0,502,1,Bounce It,Juicy J,
664,0.00842,853,139240,578,0.0,10,95,-4897,0,0.2,98027,4.0,566,1,Pu$$y Magnet (feat. Keayshawn),Roach Gigz,
665,315,794,236280,0.82,0.0,11,531,-5214,1,152,140042,4.0,821,1,Fashion Killa,A$AP Rocky,
666,114,725,251333,661,0.0,7,291,-3903,1,131,127.82,4.0,432,1,I Wanna Be With You,DJ Khaled,
667,25,854,207264,0.46,0.0,10,128,-9.71,0,0.14,97512,4.0,492,1,Gas Pedal (feat. IamSu),Sage The Gemini,
668,436,862,198531,364,0.0,11,0.0688,-9727,0,137,97.51,4.0,766,1,Red Nose,Sage The Gemini,
669,461,432,262857,703,0.0,10,779,-3845,0,332,187302,3.0,675,1,"U.O.E.N.O. Remix (feat. Future, Wiz Khalifa)",Rocko,
670,0.0235,847,246100,713,0.0,6,331,-3.89,0,241,132063,4.0,338,1,VERSACE,Flap Jack,
671,444,654,165432,794,0.0,1,127,-4307,1,322,96973,4.0,464,1,Strictly 4 My Jeeps,Action Bronson,
672,0.000134,701,389493,914,0.000137,7,169,-4463,1,129,123966,4.0,372,1,The Giver - Original Mix,Duke Dumont,
673,0.00264,844,310334,728,865,11,0.0544,-6805,0,0.0582,124297,4.0,635,1,Lean & Bounce,Duke Dumont,
674,155,582,311093,884,0.0,8,0.0725,-5635,0,166,150195,4.0,0.67,1,Swishas and Dosha - Main Version - Clean,UGK,
675,0.0352,697,172760,682,0.0,7,664,-9022,1,219,155742,4.0,672,1,Players Anthem,UGK,
676,3,766,227027,453,3.49e-05,6,0.0923,-6651,0,67,100002,4.0,346,1,"Hold On, We're Going Home",Drake,
677,426,872,188347,541,0.000789,5,132,-5911,1,103,95971,4.0,653,1,Living,2 Chainz,
678,0.0152,621,335156,813,0.0,6,691,-3.59,0,158,141.91,4.0,524,1,Taylor Gang - Bonus Track,Wiz Khalifa,
679,311,675,205740,617,0.0,10,0.19,-7.74,1,256,140124,4.0,508,1,I'm A Martian,Brian Pumper,
680,104,689,229853,879,0.0376,0,0.49,-4.03,0,0.0978,170036,4.0,544,1,The Drop,Bro Safari,
681,11,0.63,160858,664,82,9,105,-7245,1,172,179955,4.0,231,1,Drippin,MiM0SA,
682,0.00246,514,296400,0.75,0.0285,2,139,-7847,1,28,86018,4.0,551,1,Heaven,TR/ST,
683,0.0557,599,222160,677,0.00018,11,434,-6328,1,0.0314,126012,4.0,108,1,I Need You,Glass Figure,
684,0.0281,0.64,197120,888,8.01e-05,1,0.0584,-5251,0,169,87.93,4.0,664,1,From Nowhere,Dan Croll,
685,475,599,228467,533,0.00153,9,235,-14032,0,0.0472,122262,4.0,609,1,I Follow Rivers,Lykke Li,
686,356,667,234994,901,0.00393,9,0.0774,-3719,0,0.0275,140026,4.0,824,1,L'Amour Parfait,Yelle,
687,109,742,214693,0.77,0.0239,10,104,-6339,0,0.0514,96988,4.0,687,1,Northern Lights,Kate Boy,
688,0.0938,874,281373,704,0.0,9,409,-6.27,1,102,119954,4.0,444,1,Shabba,A$AP Ferg,
689,152,726,178507,834,683,10,0.0845,-5564,1,0.0565,130.04,4.0,574,1,Work,A$AP Ferg,
690,0.0247,834,285947,732,0.0,1,112,-5121,1,138,130011,4.0,308,1,Work REMIX,A$AP Ferg,
691,0.00469,712,252313,865,0.0412,1,121,-6411,1,83,113015,4.0,831,1,The Way We Are,Kate Boy,
692,422,422,260276,641,0.0,10,317,-4947,0,323,187027,3.0,668,1,"U.O.E.N.O. (feat. Rick Ross, Future)",Rocko,
693,268,651,182384,773,0.0,6,172,-6855,0,262,129882,4.0,418,1,Now You Do,A-1,
694,0.00142,728,294011,0.77,229,10,603,-4945,0,0.0426,108991,4.0,668,1,Holding On - Jerome LOL Remix,Classixx,
695,0.0296,907,849960,643,0.0265,1,105,-8657,0,0.0549,124909,4.0,363,1,Music Is the Answer - Original Extended 12-Inch Mix,Celeda,
696,0.00255,855,233272,898,2.95e-05,7,0.0563,-3863,1,61,135965,4.0,525,1,Test Me - UZ Remix,Flosstradamus & DJ Sliink,
697,0.000901,769,215294,792,0.0,7,385,-4086,1,111,136021,4.0,323,1,Test Me,Flosstradamus & DJ Sliink,
698,0.00525,0.7,307467,675,0.0,2,657,-6362,1,149,124882,4.0,227,1,No New Friends - SFTB Remix,DJ Khaled,
699,0.0215,825,199973,489,0.0,11,111,-9.32,1,263,96.99,4.0,424,1,R.I.P.,Jeezy,
