song_title;artist
XO TOUR Llif3;Lil Uzi Vert
Kissing Strangers;DNCE
Ciao Adios;Anne-Marie
Overwhelming;Jon Bellion
Go For Broke (feat. James Arthur);Machine Gun Kelly
Human;Rag'n'Bone Man
History;Olivia Holt
Calm Down;Skip Marley
Be There;Krewella
Confident;Demi Lovato
Cool for the Summer;Demi Lovato
Old Ways;Demi Lovato
For You;Demi Lovato
Stone Cold;Demi Lovato
Kingdom Come;Demi Lovato
Waitin for You;Demi Lovato
Safe;Bay Ledges
The Best Crew;Tep No
Hideout;Parcels
No Le Digas Que Hacer;Karina Vismara
Jelly Beans;The Hipwaders
C'mon Let's Make A Pizza;We Kids Rock
Icy, Creamy Ice Cream;Barney
Magic City;Wahlstedt
Livin' 4 Ya;MOTi
Satellites;DubVision
Can't Take It;Breathe Carolina
All Aloud;Adrian Lux
Cascade - Original Mix;Tommy Trash
Everytime We Touch;David Guetta - Sébastian Ingrosso - Joachim Garraud - Chris Willis - Steve Angello
Milky Way;Madison Mars
La Tromba Risin' (feat. Tasita D'Mour);Chris Lake
Icarus - Black Caviar Remix;R3hab
Wasted Love (feat. Dougy);Steve Angello
Summer;Marshmello
Save the World - Radio Mix;Swedish House Mafia
Wild One Two - feat. David Guetta, Nicky Romero & Sia;Jack Back
Calling (Lose My Mind) - Radio Edit;Sebastian Ingrosso
Language;Porter Robinson
Light It Up (feat. Nyla & Fuse ODG) [Remix];Major Lazer
Together;Martin Garrix
Faded;Alan Walker
Move for Me;Kaskade
Counting Down The Days - Yotto Edit;Above & Beyond
Summer Dreams;Michael Brun
Everything;R3hab
Lean On (feat. MØ & DJ Snake);Major Lazer
Starlight - Radio Mix;SOVI
City Of Dreams - Radio Edit;Dirty South
Blackout - Madison Mars Radio Mix;Tritonal
Freak;Friction
Skyscrapers;Daydreamer
Chemicals - Radio Edit;Tiësto
Run Wild - Alternative Edit Mix Cut;Hardwell
Blackout;Pegboard Nerds
Sweet Memories;CID
Borrowed Lives (feat. NVDES);Pierce Fulton
Concrete Angel (Radio Edit) (feat. Christina Novelli);Gareth Emery
Otherside;Suyano
Falling Back - Radio Edit;Cosmic Gate
Fireflies;Owl City
Good Time;Owl City
When Can I See You Again?;Owl City
Vanilla Twilight;Owl City
You Make Me Wanna...;Usher
Can't You See;Total
'Till I Collapse;Eminem
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan);Lil Dicky
Calm Down;G-Eazy
Remember The Name (feat. Styles Of Beyond);Fort Minor
Mind Tricks;Bassnectar
Help;Papa Roach
Paranoia;A Day To Remember
Go Down in History;Four Year Strong
Black Honey;Thrice
Something To Believe In;Young the Giant
She Hates Me;Puddle Of Mudd
Don't Threaten Me With A Good Time;Panic! At The Disco
Sex on Fire;Kings of Leon
Crush;David Archuleta
Song 2 You;Victorious Cast
Faster than Boyz;Victorious Cast
Too Little, Too Late;JoJo
Gone;Kina Grannis
Strong Enough;Kina Grannis
Without Me;Kina Grannis
L.A. Story;Sammy Adams
Something About the Sunshine;Anna Margaret
Like Nobody's Around;Big Time Rush
Amazing;Big Time Rush
Boyfriend;Big Time Rush
Worldwide;Big Time Rush
Big Time Rush;Big Time Rush
Popular Song;MIKA
All About Tonight - featuring Cymphonique Miller;How To Rock Cast
Count On You;Big Time Rush
I Know You Know;Big Time Rush
Bring It All to Me;Blaque
I'm So Into You;SWV
Candy Rain;Soul For Real
Wifey;Next
Get It On Tonite;Montell Jordan
End Of The Road;Boyz II Men
I'll Make Love To You;Boyz II Men
Together Again;Janet Jackson
Someone To Call My Lover;Janet Jackson
Escapade;Janet Jackson
God Must Have Spent a Little More Time on You - Remix;*NSYNC
I Want You Back - Radio Edit;*NSYNC
Pop - Radio Version;*NSYNC
Tearin' up My Heart - Radio Edit;*NSYNC
As Long as You Love Me;Backstreet Boys
Quit Playing Games (With My Heart);Backstreet Boys
I'll Never Break Your Heart;Backstreet Boys
All I Have to Give;Backstreet Boys
The Call;Backstreet Boys
I Want It That Way;Backstreet Boys
Show Me the Meaning of Being Lonely;Backstreet Boys
I'll Be Missing You (feat. 112);Diddy
Where the Party At;Jagged Edge
I Wanna Know;Joe
Stay;Ne-Yo
So Sick;Ne-Yo
When You're Mad;Ne-Yo
Sexy Love;Ne-Yo
All My Life;K-Ci & JoJo
Take Me There - Remix;Blackstreet
MMMBop;Hanson
My Love Is Like...Wo - Main Mix/Album Version;Mýa
Angel of Mine - Radio Mix;Monica
For You I Will;Monica
Two Wrongs;Wyclef Jean
Take Me As I Am;Wyclef Jean
Sweetest Girl (Dollar Bill);Wyclef Jean
Slow Jam;Usher
Ironic - 2015 Remastered;Alanis Morissette
My Boo;Usher
Let Me Love You;Mario
Just a Friend 2002 - Radio Edit;Mario
Say My Name;Destiny's Child
Jumpin', Jumpin';Destiny's Child
Bills, Bills, Bills;Destiny's Child
No More (Baby I'ma Do Right);3LW
Summer Is Over feat. Sara Bareilles;Jon McLaughlin
Beautiful Disaster;Jon McLaughlin
In Love With a Girl;Gavin DeGraw
Honeymoon Avenue;Ariana Grande
Pyramid (feat. Iyaz);Charice
Best Friend;Jason Chen
Put Your Arms Around Me;Natasha Bedingfield
Try Everything;Shakira
I Dare You;Bea Miller
Why Can't I?;Liz Phair
God Is a DJ;P!nk
Save My Soul;JoJo
Secret Love;JoJo
Dear No One;Tori Kelly
Video;India.Arie
"Beauty and the Beast - From ""Beauty and the Beast""";Ariana Grande
I2I;Tevin Campbell
Confetti Falling;Big Time Rush
You Gotta Be;Des'ree
Eyes Wide Open;Sabrina Carpenter
"Wildside - From ""Adventures in Babysitting""";Sofia Carson
Can I Have This Dance;High School Musical Cast
Hold On;Wilson Phillips
Be My Baby;Bea Miller
Closer (feat. Sarah Hyland);Boyce Avenue
You're Still The One;Shania Twain
Everywhere;Michelle Branch
She Looks So Perfect;5 Seconds of Summer
Beat It - Single Version;Michael Jackson
Black or White - Single Version;Michael Jackson
The Way You Make Me Feel;Michael Jackson
Man In The Mirror;Michael Jackson
P.Y.T. (Pretty Young Thing);Michael Jackson
Ultimate;Lindsay Lohan
If I Were a Boy;Beyoncé
With You;Chris Brown
Forever;Chris Brown
Hold My Hand;Jess Glynne
"When Will My Life Begin - From ""Tangled""/Soundtrack Version";Mandy Moore
Torn;Natalie Imbruglia
Ain't Nobody;Chaka Khan
Breathe Again;Toni Braxton
You're Makin' Me High;Toni Braxton
One Of Those Love Songs;Xscape
He Wasn't Man Enough;Toni Braxton
Secret Love Song;Little Mix
Heavy;Birdtalker
Celeste;Ezra Vine
Like Home;Colin & Caroline
Fire;Majozi
I Keep Ticking On;The Harmaleighs
Automatic;Castro
Ohio - filous Remix;Damien Jurado
I Took A Pill In Ibiza - Seeb Remix;Mike Posner
Bath Salts;Travis Hayes
Mr. Jones;Counting Crows
Two Princes;Spin Doctors
Save Tonight;Eagle-Eye Cherry
Hey Jealousy;Gin Blossoms
Good;Better Than Ezra
If You Could Only See;Tonic
You Get What You Give;New Radicals
Why I'm Here;Oleander
Lump;The Presidents Of The United States Of America
What's Up?;4 Non Blondes
Roll To Me;Del Amitri
Hey Leonardo (She Likes Me For Me);Blessid Union Of Souls
Inside Out;Eve 6
Hollaback Girl;Gwen Stefani
SexyBack;Justin Timberlake
I Gotta Feeling;The Black Eyed Peas
...Baby One More Time;Britney Spears
Genie In A Bottle (Album Version);Christina Aguilera
Fantasy;Mariah Carey
No Scrubs;TLC
Drive;Incubus
My Own Worst Enemy;Lit
Wannabe - Radio Edit;Spice Girls
Tearin' up My Heart - Radio Edit;*NSYNC
I Try;Macy Gray
Learn to Fly;Foo Fighters
Smooth;Santana
I Want It That Way;Backstreet Boys
Truly Madly Deeply;Savage Garden
(You Drive Me) Crazy;Britney Spears
Everybody (Backstreet's Back) - Radio Edit;Backstreet Boys
Remember the Time;Michael Jackson
Meet Virginia;Train
Last Kiss;Pearl Jam
Jump;Kris Kross
Don't Stop Me Now - Remastered 2011;Queen
Hips Don't Lie;Shakira
Don't Cha;The Pussycat Dolls
Every time we touch;Cascada
Where Is The Love?;The Black Eyed Peas
Don't Stop The Music;Rihanna
Survivor;Destiny's Child
Last Friday Night (T.G.I.F.);Katy Perry
Whenever, Wherever;Shakira
Poker Face;Lady Gaga
Complicated;Avril Lavigne
Das Lied Der Schluempfe;Vader Abraham
Cheeky Song (Touch My Bum);The Cheeky Girls
Achy Breaky Heart;Billy Ray Cyrus
Jenny from the Block - Track Masters Remix;Jennifer Lopez
(Everything I Do) I Do It For You;Bryan Adams
Anyone Can Fall In Love;Anita Dobson
Can I Touch You...There?;Michael Bolton
Lucky;Britney Spears
Believe;Cher
Macarena;Los Del Rio
Ice Ice Baby;Vanilla Ice
Touch Me (I Want Your Body);Samantha Fox
Girl You Know It's True;Milli Vanilli
Mysterious Girl;Peter Andre
MMMBop;Hanson
Hoochie Mama;2 LIVE CREW
Miracles;Insane Clown Posse
Fuck You Bitch;Wheeler Walker Jr.
Fog On the Tyne;Lindisfarne
Cha Cha Slide;Mr. C
How You Remind Me - LP Mix;Nickelback
If Today Was Your Last Day;Nickelback
Fuck Kd;StaRR Lyfe
Shape of You (Major Lazer Remix) [feat. Nyla & Kranium];Ed Sheeran
Party Monster;The Weeknd
U got 2 believe;Paulo Mendonca
Oh Devil;Electric Guest
Shut Up and Dance;WALK THE MOON
Anna Sun;WALK THE MOON
Work This Body;WALK THE MOON
Tightrope;WALK THE MOON
Avalanche;WALK THE MOON
Jenny;WALK THE MOON
Portugal;WALK THE MOON
Quesadilla;WALK THE MOON
Quit You - Wuki Remix;Lost Kings
Don't Let Me Down - Zomboy Remix;The Chainsmokers
Can't Get Enough - Pegboard Nerds Remix;Tommie Sunshine
Something Just Like This - ARMNHMR Remix;The Chainsmokers
Without U;Steve Aoki
Phone Down - Dodge & Fuski Remix;Lost Kings
Spoon Me - Slushii Remix;Elliphant
Scared To Be Lonely (Conro Remix);Martin Garrix
Let It Go - Scott Melker & Mister Gray Remix;NERVO
Call On Me - EDWYNN X TIKAL, Spirix Remix;Starley
Aamon;Kuuro
Hey Baby - Steve Aoki Remix;Dimitri Vegas & Like Mike
Brightside - Borgeous Remix;Icona Pop
Like A Bitch - Kill The Noise Remix;Kill The Noise
Candy;Dillon Francis
Habit - Dack Janiels & Wenzday Remix;Rain Man
I Wanna Get Better;Bleachers
